external_gene_name		ensembl_transcript_id	gene
1		ENST00000230221	OR14J1
2		ENST00000229725	NEU1
3		ENST00000259941	TRIM10
4		ENST00000211402	VARS1
5		ENST00000253470	TTTY11
6		ENST00000250784	RPS4Y1
7		ENST00000155093	ZFY
8		ENST00000241802	HLA-DQA2
9		ENST00000253320	TXLNGY
10		ENST00000255324	RNF17
11		ENST00000255326	RNF17
12		ENST00000255325	RNF17
13		ENST00000255304	USPL1
14		ENST00000261667	KPNA3
15		ENST00000230223	OR5V1
16		ENST00000211377	GPANK1
17		ENST00000025301	AKAP11
18		ENST00000259875	DDR1
19		ENST00000239882	ELF1
20		ENST00000261489	TSC22D1
21		ENST00000239878	UFM1
22		ENST00000269159	IMPA2
23		ENST00000261296	TGDS
24		ENST00000259726	CDSN
25		ENST00000267219	SLAIN1
26		ENST00000255882	PI4KA
27		ENST00000230236	HSD17B8
28		ENST00000219022	OLFM4
29		ENST00000261574	IPO5
30		ENST00000263205	MED15
31		ENST00000215743	MMP11
32		ENST00000019317	RALBP1
33		ENST00000269138	SS18
34		ENST00000269137	SS18
35		ENST00000246105	DEFB129
36		ENST00000216927	SIRPG
37		ENST00000246024	TMX4
38		ENST00000262919	ATRN
39		ENST00000262126	ANKRD12
40		ENST00000246100	FAM110A
41		ENST00000249014	CDC42EP1
42		ENST00000254977	BTBD3
43		ENST00000266087	FBXO7
44		ENST00000262127	CEP76
45		ENST00000248899	NCF4
46		ENST00000202834	TMEM230
47		ENST00000255224	SYT4
48		ENST00000256906	HRH4
49		ENST00000251108	CDADC1
50		ENST00000270112	HUNK
51		ENST00000203001	TRMT6
52		ENST00000269439	RNF165
53		ENST00000256425	MRO
54		ENST00000246071	SNRPB2
55		ENST00000246006	CD93
56		ENST00000217456	APMAP
57		ENST00000262160	SMAD2
58		ENST00000201979	REM1
59		ENST00000262094	RAB27B
60		ENST00000215912	PIK3IP1
61		ENST00000246069	DSTN
62		ENST00000217515	TXNL1
63		ENST00000255486	STARD13
64		ENST00000256413	CTIF
65		ENST00000256654	
66		ENST00000253382	ACSS2
67		ENST00000269209	GAREM1
68		ENST00000266088	SLC5A1
69		ENST00000249075	LIF
70		ENST00000248901	CYTH4
71		ENST00000269499	ZCCHC2
72		ENST00000254958	JAG1
